2024-08-28T15:48:27+08:00
Carpark Number,Total Lots,Lots Available,Address
TP34,187,82,BLK 49 TO 52 LORONG 5 TOA PAYOH
J55,141,82,BLK 497-498 JURONG WEST STREET 41
W105,126,82,BLK 689 WOODLANDS DRIVE 75
GM5,118,82,BLK 21 GHIM MOH ROAD
CC9,117,82,BLK 41/42 CHAI CHEE STREET
A87,113,82,BLK 462/463 ANG MO KIO STREET 44
BE31,104,82,BLK 232-237 BISHAN STREET 22
FRM,264,83,BLK 808 FRENCH ROAD MSCP
C34,147,83,BLK 702/703 WEST COAST ROAD
GM2A,146,83,BLK 8A GHIM MOH ROAD
TE9,126,83,BLK 61/69 SENG POH LANE
Q89,200,84,BLK 7B COMMONWEALTH AVENUE
TM19,100,84,BLK 364A TAMPINES STREET 34
A55,445,85,BLK 729/730 ANG MO KIO AVENUE 6/8
RHM4,282,85,BLK 74 REDHILL ROAD
MP12,220,85,BLK 72 TO 76 MARINE DRIVE
PR8,158,85,BLK 456/461 PASIR RIS DRIVE 4
J34,123,85,BLK 513/514 JURONG WEST STREET 52
A98,108,85,BLK 259 ANG MO KIO AVENUE 2
J12,243,86,BLK 252/254 JURONG EAST STREET 24
A68,158,86,BLK 620/624/626 ANG MO KIO STREET 61
A66,149,86,BLK 601/604/603 ANG MO KIO AVENUE 5
J19,138,86,BLK 309/310 JURONG EAST STREET 32
SAM2,334,87,BLK 61 STRATHMORE AVENUE
JRM,280,87,BLK 814 JELLICOE ROAD
HG1,164,87,BLK 1,2,6,7 HOUGANG AVENUE 3
JB4,147,87,BLK 1,2,9 KAMPONG KAYU
CC1,87,87,BLK 1/2 CHAI CHEE STREET
KU3,337,88,BLK 331-341 UBI AVENUE 1
TP27,233,88,BLK 125/126/131 LORONG 2 TOA PAYOH
C29,189,88,BLK 501-505 WEST COAST DRIVE
B33,129,88,BLK 131/133 BEDOK NORTH AVENUE 3
B32,124,88,BLK 130/132 BEDOK NORTH STREET 2
DWSV,527,89,BLK 85 DAWSON ROAD
PR7,218,89,BLK 446/455 PASIR RIS DRIVE 6
C25,154,89,BLK 101-104 CLEMENTI STREET 14
SK87,115,89,BLK 448 SENGKANG WEST WAY
J57,362,90,BLK 131/134 JURONG GATEWAY ROAD
STAM,274,90,BLK 56A STRATHMORE AVENUE
HR3,207,90,BLK 7 TO 9 HAIG ROAD
BE3R,195,90,BLK 410A SIN MING AVENUE
L1,178,90,BLK 415-420 LORONG LEW LIAN
TB10,213,91,BLK 38/40 TELOK BLANGAH RISE
TJ42,126,91,BLK 150 CORPORATION DRIVE
P12,124,91,BLK 415 PANDAN GARDENS
PDL2,278,92,681 PUNGGOL DR
STM2,199,92,BLK 171A STIRLING ROAD
U45,159,92,BLK 285A BUKIT BATOK EAST AVENUE 3
J63,150,92,BLK 909/911 JURONG WEST STREET 91
SG3,143,92,BLK 20/23 SAINT GEORGE ROAD
BJ36,140,92,BLK 525A JELAPANG ROAD
P17,135,92,BLK 409/411 PANDAN GARDENS
TPMG,116,92,BLK 128A LORONG 1 TOA PAYOH
Q88,218,93,BLK 19A QUEEN'S CLOSE
HG52,192,93,BLK 556-566 HOUGANG STREET 51
BRM4,176,93,BLK 85A WHAMPOA DRIVE
SD1,159,93,BLK 40-44 SIMS DRIVE
A44,155,93,BLK 459/456 ANG MO KIO STREET 44
SM3,149,93,BLK 25 SIN MING ROAD
C31,145,93,BLK 510/511 WEST COAST ROAD
SB32,143,93,BLK 591 MONTREAL LINK
U32,128,93,BLKS 512-514 BUKIT BATOK STREET 52
W717,114,93,BLK 717C WOODLANDS DRIVE 70
SIM,100,93,
U3,159,94,BLK 133/139 BUKIT BATOK WEST AVENUE 6
A42,138,94,BLK 461/465 ANG MO KIO STREET 44
SK55,123,94,BLK 160 RIVERVALE CRESCENT
HE17,120,94,BLK 93/96 HENDERSON ROAD
PP9T,131,95,BLK 145 POTONG PASIR AVENUE 2/3
Q96,237,96,BLK 181-184 STIRLING ROAD
SK81,202,96,BLK 446 JALAN KAYU
J11,129,96,BLK 250/251 JURONG EAST STREET 24
TG3,208,97,BLK 30/31/46/48 TEBAN GARDENS
SK70,162,97,BLK 273 COMPASSVALE LINK
BJ34,140,97,BLK 517A JELAPANG ROAD
TG1,133,97,BLK 24 & 25 TEBAN GARDENS
SK41,113,97,BLK 305 ANCHORVALE LINK
TG7,362,98,BLK 33/38/43/45 TEBAN GARDENS
J54,226,98,BLK 492-496 JURONG WEST STREET 41
TP67,183,98,BLK 25-27/257-259 KIM KEAT AVENUE
HR2,167,98,BLK 4-6 HAIG ROAD
J67,156,98,BLK 962-966 JURONG WEST STREET 91
UBK5,143,98,BLK 38/39 UPPER BOON KENG
PDQ5,135,98,BLK 57 DAWSON RD
H17,229,99,BLK 28A BEO CRESCENT
PDJ3,212,99,BLK 399 YUNG SHENG ROAD
TP3A,200,99,BLK 3A LORONG 7 TOA PAYOH
J10,175,99,BLK 246/249 JURONG EAST STREET 24
P16,150,99,BLK 412/414 PANDAN GARDENS
CK30,136,99,BLK 248/250 CHOA CHU KANG AVENUE 2
SK49,120,99,BLK 319 ANCHORVALE DRIVE
J72,220,100,BLK 743/751 JURONG WEST STREET 73
A50,206,100,BLK 548/552/556 ANG MO KIO STREET 54
KJ1,170,100,BLK 9/10 GLOUCESTER ROAD
GM6A,167,100,BLK 13A GHIM MOH ROAD
BJ35,140,100,BLK 521A JELAPANG ROAD
LT1,260,101,BLK 110,113-116 LENGKONG TIGA
SE35,217,101,BLK 500/506B SERANGOON NORTH AVENUE 4
BL24,200,101,
SE26,180,101,BLK 409/414 SERANGOON CENTRAL/AVENUE 1
B86,160,101,BLK 114A BEDOK NORTH STREET 2
T11,250,102,BLK 149/151 TAMPINES STREET 12
B94A,186,102,BLK 512 TO 518, 554 BEDOK NORTH AVENUE 2
KJ4,182,103,BLK 51/54 KENT ROAD
TPMK,173,103,BLK 194A KIM KEAT AVENUE
A59,172,103,BLK 547/551 ANG MO KIO STREET 54
TE13,143,103,BLK 78/80 MOH GUAN TERRACE/CHAY YAN STREET
TG6,176,104,BLK 32, 39/41 TEBAN GARDENS
T27,136,104,BLK 251/253 TAMPINES STREET 21
C24,450,105,BLK 110/118 CLEMENTI STREET 13
Y16,173,105,BLK 238/242 YISHUN RING ROAD
CK25,161,105,BLK 352-355 CHOA CHU KANG CENTRAL
C14M,212,106,BLK 318A CLEMENTI AVENUE 4
W676,206,106,BLK 676 WOODLANDS DRIVE 71
PDP4,167,106,BLK 446A FAJAR ROAD
CK66,164,106,BLK 573A CHOA CHU KANG STREET 52
PL16,153,106,BLK 180 EDGEFIELD PLAINS
TPMD,143,106,BLK 161A LORONG 1 TOA PAYOH
BJ21,183,107,BLK 427-435 BUKIT PANJANG RING ROAD
BKE7,168,107,BLK 678 PERUMAL ROAD
HG99,162,107,BLK 174A-174D HOUGANG AVENUE 1
U30,143,107,BLK 523-525 BUKIT BATOK STREET 52
J8M,139,107,BLK 240C JURONG EAST AVENUE 1
J40,206,108,BLK 462-467 JURONG WEST STREET 41
A39,200,108,BLK 401/405 ANG MO KIO AVENUE 10
SE39,198,108,BLK 542A SERANGOON NORTH AVENUE 4
BE35,190,108,BLK 246-256 BISHAN STREET 22
SE31,187,108,BLK 514/520 SERANGOON NORTH AVENUE 4
J23,299,109,BLK 334/341 JURONG EAST AVENUE 1
TPM2,211,109,BLK 101C LORONG 2 TOA PAYOH
CK17,185,109,BLK 421/428 CHOA CHU KANG AVENUE 4
SI9,179,109,BLK 141/147 SIMEI STREET 2
RC1,164,109,BLK 101/102 JALAN RAJAH
C12,323,110,BLK 301-302,305-308 CLEMENTI AVENUE 4
T8,211,110,BLK 137/139 TAMPINES STREET 11
T25,170,110,BLK 245/248 TAMPINES STREET 21
A34,220,112,BLK 422/425 ANG MO KIO STREET 42
TP8,189,112,BLK 91-96/98/100 LORONG 3 TOA PAYOH
A74,185,112,BLK 646/649 ANG MO KIO STREET 61
TE25,298,113,BLK 17/31/141/150 KAMPONG BAHRU ROAD
PM28,241,113,BLK 586A PASIR RIS STREET 53
TPB1,200,113,BLK 18A LORONG 6 TOA PAYOH
PM12,173,113,BLK 272A PASIR RIS STREET 21
W39,210,114,BLK 830-836 WOODLANDS STREET 83
SE23,185,114,BLK 253/254 SERANGOON CENTRAL DRIVE
A49,180,114,BLK 555/559 ANG MO KIO STREET 54
PL86,162,114,
B53,197,115,BLK 625/629 BEDOK RESERVOIR ROAD
J14,192,115,BLK 256/258 JURONG EAST STREET 24
H6,212,116,BLK 77/79 GANGES AVENUE
TP63,173,116,BLK 202 TO 204 TOA PAYOH NORTH
TP62,162,116,BLK 199 TO 201 TOA PAYOH NORTH
H14,220,117,BLK 96 HAVELOCK ROAD MSCP
HG69,187,117,BLK 850A HOUGANG CENTRAL
MLM,277,118,BLK 157A MEI LING STREET
CK45,220,118,BLK 771A CHOA CHU KANG STREET 54
B35,197,118,BLK 137/140 BEDOK NORTH AVENUE 3
J9,189,118,BLK 241/245 JURONG EAST STREET 24
J17,162,118,BLK 305/306 JURONG EAST STREET 32
C13M,280,119,BLK 309A CLEMENTI AVENUE 4
KB1,239,119,BLK 61-62/68 GEYLANG BAHRU ROAD
PL49,214,119,BLK 210 PUNGGOL PLACE
Y39,205,119,BLK 662/666,666A TO 666B YISHUN AVENUE 4
T31,193,119,BLK 268-270 TAMPINES STREET 21
A2,188,119,BLK 206/207 ANG MO KIO STREET 22
HG5,149,119,BLK 24/25 HOUGANG AVENUE 3
PDP5,140,119,BLK 524A JELAPANG ROAD
CDM,343,120,BLK 54 COMMONWEALTH DRIVE
Q86,320,120,BLK 148A MEI LING STREET
J22,231,120,BLK 329/333 JURONG EAST AVENUE 1
T17,228,120,BLK 201D/209/208A TAMPINES STREET 21
RC2,186,120,BLK 103/104 JALAN RAJAH
B49,183,120,BLK 549/551 BEDOK NORTH AVENUE 1
Y24,181,120,BLK 795-799 YISHUN RING ROAD
BE39,705,121,BLK 263A BISHAN STREET 22
BM9,612,121,BLK 58/59 LENGKOK BAHRU
M1,312,121,BLK 85 TO 94/92A PIPIT ROAD
PDW5,270,121,BLK 548 WOODLANDS DR 44
J16,212,121,BLK 301/304 JURONG EAST STREET 32
P13,164,121,BLK 401/402 PANDAN GARDENS
EC8,163,121,BLK 2A EUNOS MRT SIMS AVENUE
SK51,142,121,BLK 325 SENGKANG EAST WAY
RHM2,222,122,BLK 70A REDHILL CLOSE
J43,190,122,BLK 474-477 JURONG WEST STREET 41
PDR2,222,123,BLK 258 PASIR RIS ST 21
BJ26,192,123,BLK 449A BUKIT PANJANG RING ROAD
SE14,187,123,BLK 231/237 SERANGOON AVENUE 3
J32,199,124,BLK 515/517 JURONG WEST STREET 52
W30,285,125,BLK 305 WOODLANDS STREET 31
W44,245,125,BLK 413A WOODLANDS STREET 41
J15,205,125,BLK 259/264 JURONG EAST STREET 24
DSR1,200,125,BLK 31A MARGARET DRIVE
TP22,183,125,BLK 148 TO 150 LORONG 1 TOA PAYOH
KRM,173,125,BLK 115 JALAN AYER
PM9,220,126,BLK 216A PASIR RIS STREET 21
KB11,209,126,BLK 34 WHAMPOA WEST
JM31,180,126,BLK 638A JURONG WEST STREET 61
BJ17,172,126,BLK 401A FAJAR ROAD
J83M,172,126,BLK 865A JURONG WEST STREET 81
J18,171,126,BLK 307/308 JURONG EAST STREET 32
T49A,164,126,BLK 882A TAMPINES STREET 83
AR1M,196,127,BLK 2A DOVER ROAD
AM80,191,127,BLK 130A ANG MO KIO STREET 12
HG17,225,128,BLK 231/233/235/237 HOUGANG STREET 21
HG13,150,128,BLK 325/326 HOUGANG AVENUE 7
J45,239,129,BLK 484-491 JURONG WEST AVENUE 1
T43,224,129,BLK 831/841 TAMPINES STREET 83
TB7,194,129,BLK 29/32 TELOK BLANGAH RISE
HG1D,175,129,BLK 376 HOUGANG STREET 32
TPME,172,129,BLK 93A LORONG 4 TOA PAYOH
W11,303,130,BLK 22/27 MARSILING DRIVE
HG51,204,130,BLK 546-555 HOUGANG STREET 51
SK72,200,130,BLK 272 SENGKANG CENTRAL
HG29,232,131,BLK 351-357 HOUGANG AVENUE 7
CV1,208,131,BLK 1/1A TELOK PAKU ROAD
PL32,203,131,BLK 302 PUNGGOL PLACE
PP1,257,132,BLK 101 TO 109 POTONG PASIR AVENUE 1
T78,266,133,BLK 444/450 TAMPINES STREET 42
W5,205,133,BLK 10/13 MARSILING LANE
SI12,168,133,BLK 163/165 SIMEI ROAD
PM37,293,134,BLK 718A PASIR RIS STREET 72
CC7,220,134,BLK 30/40 CHAI CHEE AVENUE
SB47,182,134,BLK 109 CANBERRA WALK
W100,282,135,BLK 537-547 WOODLANDS DRIVE 16
J69,222,135,BLK 974/980 JURONG WEST STREET 93
A24,222,135,BLK 338/340 ANG MO KIO STREET 32
A82,201,135,BLK 173/176 ANG MO KIO AVENUE 4
J86M,191,135,BLK 764A JURONG WEST STREET 74
BBM7,175,135,BLK 154A BUKIT BATOK WEST AVENUE 8
PL50,192,136,BLK 211 PUNGGOL WALK
MM1,176,136,BLK 28A BALAM ROAD
T75,231,137,BLK 429/432 TAMPINES STREET 41
HG36,220,137,BLK 703-706,711-712 HOUGANG AVENUE 2
SI11,208,137,BLK 155/162 SIMEI ROAD
T24,204,137,BLK 239/244 TAMPINES STREET 21
PP2,192,137,BLK 143 TO 145 POTONG PASIR AVENUE 2/3
SH2,173,138,BLK 320 SHUNFU ROAD
TP36,250,139,BLK 43 TO 48 LORONG 5/6 TOA PAYOH
HG46,242,139,BLK 692-698 HOUGANG STREET 61
PL31,222,139,BLK 301 PUNGGOL CENTRAL
BWM,220,139,BLK 2A JALAN BUKIT MERAH
W5M,203,139,BLK 13A MARSILING LANE
TP7,187,139,BLK 100/103-106 LORONG 1 TOA PAYOH
A31,310,140,BLK 119/128 ANG MO KIO STREET 12
C38,265,140,BLK 715-717 CLEMENTI WEST STREET 2
Y9,262,140,BLK 747/752 YISHUN STREET 72
CK15,246,140,BLK 288/295 CHOA CHU KANG AVENUE 2/3
T44,229,140,BLK 830/840 TAMPINES STREET 82
B43,217,140,BLK 519/522 553 BEDOK NORTH AVENUE 1/2
J44,200,140,BLK 478-483 JURONG WEST STREET 41
W536,326,141,BLK 536A WOODLANDS DRIVE 14
GEM,231,141,BLK 118 ALJUNIED AVENUE 2
B9,213,141,BLK 402/403 BEDOK NORTH AVENUE 3
TGM2,189,141,BLK 61 TEBAN GARDENS ROAD
Q87,414,142,BLK 5A HOLLAND CLOSE
J6,318,142,BLK 209/214 JURONG EAST STREET 21
MN1,257,142,BLKS 108/112 MCNAIR ROAD
KE2,209,142,BLK 122/126 BEDOK RESERVOIR ROAD
Y3M,206,142,BLK 115A/115B/115C YISHUN RING ROAD
BE6,170,142,BLK 135/138 BISHAN STREET 12
B27,268,143,BLK 101/106 BEDOK NORTH AVENUE 4
BJ24,258,143,BLK 436-441 FAJAR ROAD
CK23,232,143,BLK 430-437 CHOA CHU KANG AVENUE 4
S116,227,143,BLK 402 FERNVALE LANE
TM48,210,143,BLK 890 TAMPINES AVENUE 1
PL30,204,143,BLK 170D PUNGGOL EAST
CK28,184,143,BLK 276A CHOA CHU KANG AVENUE 2
SE18,279,144,BLK 330/335 SERANGOON AVENUE 3
HG95,168,144,BLK 105 HOUGANG AVENUE 1
BP2,317,145,BLK 110/115 BUKIT PURMEI ROAD
SE25,239,145,BLK 401/408 SERANGOON CENTRAL/AVENUE 1
SB31,202,145,BLK 463 SEMBAWANG DRIVE
J2,200,145,BLK 108/110 JURONG EAST STREET 13
Y30M,249,146,BLK 848A YISHUN STREET 81
PM46,237,146,BLK 782A PASIR RIS STREET 71
SK68,233,146,BLK 275 COMPASSVALE LINK
FR3M,228,146,BLK 8A EMPRESS ROAD
A12,194,146,BLK 229/230 ANG MO KIO STREET 22
PDC4,178,146,BLK 475 CHOA CHU KANG AVE 3
HG54,240,147,BLK 220-222 HOUGANG STREET 21
SK71,233,147,BLK 277 COMPASSVALE LINK
KU2,477,148,BLK 319-330 UBI AVENUE 1
T73,275,148,BLK 418/424 TAMPINES STREET 41
SE34,270,148,BLK 531/536 SERANGOON NORTH AVENUE 4
PL40,243,148,BLK 270 PUNGGOL FIELD
BJ65,224,148,BLK 632 SENJA ROAD
J53,215,148,BLK 417/422 JURONG WEST STREET 42
TG2,273,149,BLK 49 TO 54 TEBAN GARDENS
A27,237,149,BLK 108/109/110 ANG MO KIO STREET 11
TJ27,223,149,BLK 151/154 YUNG HO ROAD
Y78M,216,149,BLK 468 YISHUN STREET 43
U10,214,149,BLK 178/184 BUKIT BATOK WEST AVENUE 8
TWM4,200,149,BLK 165 TECK WHYE CRESCENT
C6,332,150,BLK 328-334 CLEMENTI AVENUE 2
BR4,321,150,BLK 81/89 WHAMPOA DRIVE
MM3,222,150,BLK 66A CIRCUIT ROAD
M32,352,151,BLK 120 TO 124 PAYA LEBAR WAY
J39,250,151,BLK 456-461 JURONG WEST STREET 41
B83,212,151,BLK 21A CHAI CHEE ROAD
J5,192,151,BLK 207/208 JURONG EAST STREET 21
KJ3,334,152,BLK 48/48A DURHAM ROAD
BE28,304,152,BLK 213-215,218-227 BISHAN STREET 23
J37,269,152,BLK 537/542 JURONG WEST AVENUE 1
W41,251,152,BLK 851-856 WOODLANDS STREET 83
HG18,242,152,BLK 230/232/234/236/238 HOUGANG AVENUE 1
SK78,226,152,BLK 443 FERNVALE ROAD
SB43,202,152,BLK 117 CANBERRA CRESCENT
W13,272,153,BLK 201/206 MARSILING DRIVE
TM36,225,153,BLK 515 TAMPINES CENTRAL 7
W8M,214,153,BLK 2A MARSILING DRIVE
TP4A,296,154,BLK 4A LORONG 7 TOA PAYOH
HG12,290,154,BLK 320-324 HOUGANG AVENUE 5
AH1,278,154,BLK 101 JALAN DUSUN
UA3,245,154,BLK 10/11/19 TO 21 JOO SENG ROAD
W783,390,155,BLK 783 WOODLANDS RISE
PDS1,346,155,BLK 118 RIVERVALE DR
KLM,345,155,BLK 31 KELANTAN LANE MSCP
Y13,262,155,BLK 201/202, 207/212 YISHUN STREET 21
FR2C,256,155,BLK 3/4 QUEEN'S ROAD
B8B,249,155,BLK 222 BEDOK NORTH DRIVE
J85M,230,155,BLK 859A JURONG WEST STREET 81
PM11,227,155,BLK 269A PASIR RIS STREET 21
BE13,220,155,BLK 135A BISHAN STREET 12
B48,210,155,BLK 543/547 BEDOK NORTH STREET 3
C21M,383,156,BLK 455A CLEMENTI AVENUE 3
SE29,333,156,BLK 2A LORONG LEW LIAN
U4,259,156,BLK 140/143 BUKIT BATOK STREET 11
B26,225,156,BLK 98/100 BEDOK NORTH AVENUE 4
U46,241,157,BLK 297 - 299 BUKIT BATOK ST 22 BUKIT BATOK STREET 22
BJ72,200,157,BLK 638 SENJA CLOSE
TP49,296,158,BLK 4/5 LORONG 7 TOA PAYOH
AM81,215,158,BLK 132A ANG MO KIO STREET 12
TP50,296,159,BLK 1 TO 3 LORONG 7 TOA PAYOH
TPMM,259,159,BLK 227A LORONG 8 TOA PAYOH
B71,249,159,BLK 29C CHAI CHEE AVENUE
PDC5,185,159,BLK 533A CHOA CHU KANG ST 51
SIM6,251,160,BLK 168 SIMEI LANE
KB20,225,160,BLK 49A WHAMPOA SOUTH
SIM5,235,161,BLK 256A SIMEI STREET 1
BJ20,235,161,BLK 420-426 FAJAR ROAD
A94,234,161,BLK 104C ANG MO KIO STREET 11
SK73,208,161,BLK 270 SENGKANG CENTRAL
PL19,291,162,BLK 186-188,190-192 PUNGGOL CENTRAL
U7,291,162,BLK 159/164 BUKIT BATOK STREET 11
EI3,265,162,BLK 410 TO 417 EUNOS ROAD 5
T74,220,162,BLK 425/428 TAMPINES STREET 41
CK12,218,162,BLK 409/413 CHOA CHU KANG AVENUE 3
TE2,213,162,BLK 105-107 JALAN BUKIT MERAH
C30,211,162,BLK 507-509 WEST COAST DRIVE
HG2,229,163,BLK 15-18 HOUGANG AVENUE 3
TP18,383,164,BLK 186/191 TO 193 TOA PAYOH TOWN CENTRE
SI10,266,164,BLK 148 - 154 SIMEI STREET 1
TW4,266,164,BLK 1/7 TECK WHYE AVENUE
B96,242,164,BLK 219 BEDOK CENTRAL
SK74,225,164,BLK 439 SENGKANG WEST AVENUE
TWM6,224,164,
BTM3,360,165,BLK 11A BOON TIONG ROAD
U18,312,165,BLK 254/265 BUKIT BATOK EAST AVENUE 4
B89,287,165,BLK 116A BEDOK NORTH ROAD
J23M,249,165,BLK 372A JURONG EAST STREET 32
PM16,245,165,BLK 149A PASIR RIS STREET 13
SDM,192,165,BLK 114A LORONG 3 GEYLANG MSCP
KBM,239,166,BLK 65A KALLANG BAHRU
TM20,234,166,BLK 366A TAMPINES STREET 34
S102,674,167,BLK 164 RIVERVALE CRESCENT
AM51,282,167,BLK 700 ANG MO KIO AVENUE 6
MP2,256,167,BLK 5 TO 8 MARINE TERRACE
Y5,230,167,BLK 144/149 YISHUN STREET 11
BJ38,216,167,BLK 533A BUKIT PANJANG RING ROAD
TM13,209,167,BLK 374A TAMPINES STREET 34
HG23,282,168,BLK 239-246 HOUGANG STREET 22
T29,256,168,BLK 255/264 TAMPINES STREET 21
Y62M,242,168,BLOCK 342 YISHUN RING ROAD
PM7,239,168,BLK 257A PASIR RIS STREET 21
PM18,247,169,BLK 135A PASIR RIS STREET 11
TP54,256,170,BLK 222 TO 224 LORONG 8 TOA PAYOH
Y59M,248,170,BLK 429 YISHUN AVENUE 11
CLM,245,170,BLK 129A CLARENCE LANE
TM23,242,170,BLK 354A TAMPINES STREET 33
BJ45,232,170,BLK 180A LOMPANG ROAD
T28,228,170,BLK 257/260 TAMPINES STREET 21
CK6A,227,170,BLK 146A 146A TECK WHYE AVENUE
T3,277,171,BLK 109/114 TAMPINES STREET 11
TP60,275,171,BLK 236 TO 240 TOA PAYOH LORONG 1
A41,308,172,BLK 466/470 ANG MO KIO STREET 44
A77,276,172,BLK 150/156 ANG MO KIO AVENUE 5
BA7,261,172,BLK 206 WOODLEIGH LINK
HG37,256,172,BLKS 501-507 HOUGANG AVENUE 8
C37,423,173,BLK 720-727,730-731 CLEMENTI WEST STREET 2
MP3M,400,173,BLK 12A MARINE TERRACE
NBRM,395,173,BLK 13 NORTH BRIDGE ROAD MSCP
BKRM,278,173,BLK 6A BOON KENG ROAD
BE33,269,173,BLK 238-245 BISHAN STREET 22
TPML,266,173,BLK 233A LORONG 8 TOA PAYOH
PM38,248,173,BLK 736A PASIR RIS DRIVE 10
TP3,215,173,BLK 66/70/73 LORONG 4 TOA PAYOH
HG1E,306,174,BLK 377 HOUGANG STREET 32
J27,291,174,BLK 521/524 JURONG WEST STREET 52
Y36,287,174,BLK 642/643 YISHUN STREET 61
PL37,234,174,BLK 614 EDGEFIELD PLAINS
SGLM,230,174,BLK 4A SAINT GEORGE'S LANE
T30,226,174,BLK 267/271 TAMPINES STREET 21
BE3,306,175,BLK 401-408 SIN MING AVENUE
TM29,267,175,BLK 498C TAMPINES STREET 45
Y18,247,175,BLK 258/264 YISHUN STREET 22
H12,356,176,BLK 1/5 DELTA AVENUE
PDR6,251,176,BLK 624A ELIAS RD
TM37,244,176,BLK 518 TAMPINES CENTRAL 7
BL10,239,176,BLK 188/191 BOON LAY DRIVE
Y34A,233,176,BLK 614-618 YISHUN STREET 61
GM6B,232,176,BLK 16A GHIM MOH ROAD
SE27,380,177,BLK 421/427 SERANGOON CENTRAL/AVENUE 1
BA1,278,177,BLK 106 BIDADARI PARK DRIVE
HG32,270,177,BLK 601-608 HOUGANG AVENUE 4
HG68,248,177,BLK 838A HOUGANG CENTRAL
CC10,228,177,BLK 43/45 CHAI CHEE STREET
GSM,200,177,BLK 2 GEYLANG SERAI
PM40,267,178,BLK 744A PASIR RIS STREET 71
W19,322,179,BLK 134-143 MARSILING ROAD
T46,297,179,BLK 842/856 TAMPINES STREET 82
SG1,294,179,BLK 1/3/8 SAINT GEORGE ROAD
U33,290,179,BLKS 535-542 BUKIT BATOK STREET 51/52
W181,275,179,BLK 181 MARSILING ROAD
BR11,268,179,BLKS 27-30 & 32-33 JALAN BAHAGIA
W54,267,179,BLK 824A WOODLANDS STREET 81
KJM1,265,179,BLK 37A CAMBRIDGE ROAD
HG3D,265,179,BLK 998 BUANGKOK CRESCENT
TBC2,264,179,BLK 23A TELOK BLANGAH CRESCENT
TM7,245,179,BLK 311A TAMPINES STREET 33
HG39,204,179,HOUGANG SPORTS COMPLEX
J64,254,180,BLK 354 JURONG EAST AVENUE 1
CK33,235,180,BLK 502A CHOA CHU KANG STREET 51
Y2,399,181,BLK 103/111 YISHUN RING ROAD
BE34,303,181,BLK 246A BISHAN STREET 22
HG34,360,182,BLK 622-632 HOUGANG AVENUE 8
MN2,303,182,BLKS 119/124 MCNAIR ROAD
J62M,200,182,BLK 901 JURONG WEST STREET 91
CKM2,301,183,BLK 625A CHOA CHU KANG STREET 62
BJ68,253,183,BLK 422A FAJAR ROAD
W40,304,184,BLK 837-850 WOODLANDS STREET 82
T4,301,184,BLK 124/127 TAMPINES STREET 11
BTM,284,184,BLK 2B BOON TIONG ROAD
U43,270,184,BLK 404A BUKIT BATOK WEST AVENUE 7
U68,258,184,BLK 460 BUKIT BATOK WEST AVENUE 9
KBRM,257,184,
SIM3,236,184,BLK 166 SIMEI ROAD MSCP
W45,324,185,BLK 421A WOODLANDS STREET 41
U34,303,185,BLKS 501-511 BUKIT BATOK STREET 52
T34,284,185,BLK 283/286 TAMPINES STREET 22
CAM,480,186,BLK 88 TANGLIN HALT ROAD
KU4,474,186,BLK 342-352 UBI AVENUE 1
SE33,302,186,BLK 537/542 SERANGOON NORTH AVENUE 4
A7,238,186,BLK 212/213 ANG MO KIO STREET 23
CK3,282,187,BLK 118/124 TECK WHYE LANE
B60,272,187,BLK 722/725 BEDOK RESERVOIR ROAD
TB17,366,188,BLK 50/71 TELOK BLANGAH DRIVE
SK20,283,188,BLK 191C RIVERVALE DRIVE
SK79,253,188,BLK 212 COMPASSVALE DRIVE
TM44,216,188,BLK 499 TAMPINES AVENUE 9
KAM,396,189,BLK 335 KRETA AYER MSCP
C4M,392,189,BLK 413A COMMONWEALTH AVENUE WEST
B52,300,189,BLK 617/624 BEDOK RESERVOIR ROAD
HG76,270,189,BLK 159A HOUGANG STREET 11
CTM1,266,189,BLK 441 COMMONWEALTH AVENUE WEST
B17,385,190,BLK 52/57 NEW UPPER CHANGI ROAD
HG24,325,190,BLK 247-254 HOUGANG AVENUE 3
W11M,298,190,BLK 29A MARSILING DR
TM43,247,190,BLK 202A TAMPINES STREET 21
PR1,301,191,BLK 101/108 PASIR RIS STREET 12
SE38,300,191,BLK 504A SERANGOON NORTH AVENUE 4
U54,235,191,241A BUKIT BATOK EAST AVENUE 5
J82M,535,192,BLK 844A JURONG WEST STREET 81
TBM,307,192,BLK 48A TELOK BLANGAH DRIVE
W48,291,192,BLK 874A WOODLANDS STREET 81
CK48,287,192,BLK 604A CHOA CHU KANG STREET 62
PL29,298,193,BLK 633 PUNGGOL DRIVE
TM10,287,193,BLK 331A TAMPINES STREET 32
U55,350,194,BLK 445 BUKIT BATOK WEST AVENUE 8
PL85,277,194,
BJ25,264,194,BLK 453A FAJAR ROAD
BE12,459,195,BLK 187-197 BISHAN STREET 13
BL22,358,195,BLK 196 BOON LAY DRIVE
Y15,315,195,BLK 227/235 YISHUN STREET 21
HG35,315,195,BLK 701-702,707-710 HOUGANG AVENUE 2
BA8,251,195,BLK 207 WOODLEIGH LINK
C9,316,196,BLK 340/342/343/346-348 CLEMENTI AVENUE  5
BJ10,310,196,BLK 234-241 BUKIT PANJANG RING ROAD
Y27,286,197,BLK 821/830 YISHUN STREET 81
SK69,264,197,BLK 437 FERNVALE ROAD
B47,234,197,BLK 540/542 BEDOK NORTH STREET 3
